title,tmdb_id,imdb_id,duration,genres,img,popularity,vote_average,vote_count,year_released
b'de stedeling',b'5818',b'tt4490586',b'10',"b""['mystery']""",b'none',b'0.05',b'7.0',b'1',b'1984-01-01'
b'the sentinel',b'5820',b'tt0443632',b'108',"b""['action', 'thriller', 'crime']""",b'/wue2eskkktvz8iitzrpo6gbi6gh.jpg',b'7.581',b'5.9',b'295',b'2006-04-19'
"b""sweet sweetback's baadasssss song""",b'5822',b'tt0067810',b'97',"b""['action', 'drama', 'crime']""",b'/wvyluhmptyzfonpocafxnachaeb.jpg',b'2.937',b'5.0',b'27',b'1971-04-23'
"b""national lampoon's christmas vacation""",b'5825',b'tt0097958',b'97',"b""['comedy']""",b'/uh2sqfjrxcwexwcbtv7oenl1c5g.jpg',b'7.495',b'7.2',b'874',b'1989-12-01'
b'ausgerechnet weihnachten',b'5826',b'tt0492554',b'90',"b""['comedy']""",b'/lep4csutm5oxdove0yrn2efnc9o.jpg',b'0.002',b'0.0',b'0',b'2005-12-14'
b'eine seltsame bescherung',b'5829',b'tt0078225',b'88',"b""['comedy']""",b'none',b'1.505',b'0.0',b'0',b'1978-01-01'
b'eine st\xc3\xbcrmische bescherung',b'5830',b'tt1147776',b'90',"b""['comedy']""",b'none',b'0.006',b'0.0',b'0',b'2007-12-17'
b'vier meerjungfrauen ii - liebe \xc3\xa0 la carte',b'5832',b'tt0780177',b'90',"b""['comedy']""",b'none',b'0.021',b'0.0',b'0',b'2006-04-03'
"b""casper's haunted christmas""",b'5833',b'tt0284946',b'84',"b""['animation', 'family']""",b'/3bfr30kh0o3nkr1sfea3hxcg6hw.jpg',b'4.016',b'5.2',b'62',b'2000-10-31'
b'the l.a. riot spectacular',b'5834',b'tt0388193',b'80',"b""['comedy']""",b'/brilo96p5fidp9cpm0vchksyq27.jpg',b'0.337',b'0.0',b'0',b'2005-04-25'
b'the magliari',b'5839',b'tt0053032',b'132',"b""['drama']""",b'/rvniot6jpg52cwfclgt8kguzxci.jpg',b'1.3',b'6.4',b'5',b'1959-09-23'
b'st. pauli nacht',b'5840',b'tt0143900',b'95',"b""['drama']""",b'/ofaywdpli13gdkudnnnezwqwzh8.jpg',b'0.082',b'4.5',b'2',b'1999-09-02'
b'versus',b'5842',b'tt0275773',b'130',"b""['action', 'horror', 'fantasy']""",b'/lwwlxtt6zprbuls3s8p1uvpopm6.jpg',b'4.986',b'6.3',b'63',b'2000-10-23'
b'heat after dark',b'5843',b'tt0384991',b'50',"b""['crime', 'action', 'drama']""",b'/qdcaenbsv9cizlehcxz4zxx9cye.jpg',b'0.644',b'5.0',b'2',b'1996-06-01'
b'aragami',b'5845',b'tt0362417',b'76',"b""['action', 'horror']""",b'/adtskswqnhq5zqp1k8bjgycopb9.jpg',b'1.828',b'6.9',b'19',b'2003-03-27'
b'sky high',b'5846',b'tt0398563',b'122',"b""['action', 'horror', 'thriller']""",b'/qfn1mxct8r27vxyfdoph4rwcem.jpg',b'1.63',b'6.6',b'17',b'2003-12-05'
b'angel eyes',b'5852',b'tt0225071',b'102',"b""['drama', 'romance', 'thriller']""",b'/jxchjrfzo6zygdvaaognwlnm4yw.jpg',b'6.674',b'5.5',b'120',b'2001-05-15'
b'deep throat',b'5853',b'tt0068468',b'61',b'[]',b'/m262tos7jbnerp6kflg1x9rkshl.jpg',b'2.112',b'5.3',b'52',b'1972-06-12'
b'family plot',b'5854',b'tt0074512',b'121',"b""['comedy', 'crime', 'thriller']""",b'/6vpkrvtfptgb4qjfwcemd6y7ipp.jpg',b'5.837',b'6.7',b'120',b'1976-04-09'
